"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",15856894.000000,5187498378994507,5187498379480109
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1050502.000000,5187498378994507,5187498379480109
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",15858260.000000,5187498378994507,5187498379480109
15,15,4,1,128707,128707,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498378994507,5187498379480109
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498379947471,5187498380449553
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",528266.000000,5187498379947471,5187498380449553
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",16483018.000000,5187498379947471,5187498380449553
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1052550.000000,5187498379947471,5187498380449553
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16486432.000000,5187498379947471,5187498380449553
16,16,4,1,128707,128707,16777216,19,"void copy_kernel<32>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498379947471,5187498380449553
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498380924915,5187498381554357
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",266186.000000,5187498380924915,5187498381554357
